Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Most pri Bratislave	Bratislavský kraj	128	48.142222°S 17.271944°V	19,01	2 487	130,83	900 46	508110	SC	+421-2	
Mostová	Trnavský kraj	117	48.142222°S 17.676944°V	25,16	1 606	63,83	925 07	503924	GA	+421-31	
Moškovec	Žilinský kraj	448	48.9433°S 18.8292°V	2,1	63	30	038 44 	512451	TR	+421-43	
Mošovce	Žilinský kraj	495	48.9095°S 18.8876°V	58,09	1 315	22,64	038 21	512460	TR	+421-43	
Moštenica	Banskobystrický kraj	479	48.8072°S 19.2923°V	13,42	217	16,17	976 13 	508799	BB	+421-48	
Mošurov	Prešovský kraj	365	49.1202°S 21.2491°V	5,44	185	34,01	082 67 	524905	PO	+421-51	
Motešice	Trenčiansky kraj	257	48.8425°S 18.1830°V	17,39	813	46,75	913 26	506273	TN	+421-32	
Motyčky	Banskobystrický kraj	678	48.8604°S 19.1701°V	13,08	110	8,41	976 02 	508802	BB	+421-48	
Môlča	Banskobystrický kraj	478	48.7188°S 19.2313°V	9,39	353	37,59	974 01 	508781	BB	+421-48	
Mrázovce	Prešovský kraj	220	49.116667°S 21.666667°V	4,65	86	18,49	090 34 	527611	SP	+421-54	
Mučín	Banskobystrický kraj	189	48.2451°S 19.6996°V	11,74	767	65,33	985 31 	511625	LC	+421-47	
Mudroňovo	Nitriansky kraj	159	47.8326°S 18.3200°V	4,01	123	30,67	946 32 	501271	KN	+421-35	
Mudrovce	Košický kraj	428	48.8279°S 21.4505°V	5,89	71	12,05	044 47 	521701	KS	+421-55	
Muľa	Banskobystrický kraj	219	48.1939°S 19.5267°V	12,28	343	27,93	991 22 	516228	VK	+421-47	
Muráň	Banskobystrický kraj	393	48.740728°S 20.046192°V	103,15	1 235	11,97	049 01 	525987	RA	+421-58	
Muránska Dlhá Lúka	Banskobystrický kraj	343	48.7177°S 20.0812°V	18,65	889	47,67	050 01 	525995	RA	+421-58	
Muránska Huta	Banskobystrický kraj	703	48.7773°S 20.1128°V	8,46	197	23,29	049 01 	526002	RA	+421-58	
Muránska Lehota	Banskobystrický kraj	388	48.729178°S 20.055367°V	7,86	198	25,19	049 01 	526011	RA	+421-58	
Muránska Zdychava	Banskobystrický kraj	520	48.7377°S 20.1398°V	28,58	251	8,78	050 01 	526029	RA	+421-58	
Mútne	Žilinský kraj	836	49.463333°S 19.315833°V	64,45	2 912	45,18	029 63	509850	NO	+421-43	
Mužla	Nitriansky kraj	112	47.800000°S 18.600000°V	51,96	1 913	36,82	943 52	503401	NZ	+421-36	
Myjava	Trenčiansky kraj	325	48.749167°S 17.564444°V	48,54	12 114	249,57	907 01	504581	MY	+421-34	
Myslina	Prešovský kraj	160	48.9453°S 21.8525°V	9,54	569	59,64	066 01 	520501	HE	+421-57	
Mýtna	Banskobystrický kraj	270	48.466667°S 19.550000°V	20,28	1 167	57,54	985 53	511641	LC	+421-47	
Mýtne Ludany	Nitriansky kraj	152	48.1641°S 18.6628°V	17,65	974	55,18	935 56	502570	LV	+421-36	
Mýto pod Ďumbierom	Banskobystrický kraj	630	48.8524°S 19.6323°V	10,39	519	49,95	976 44	508811	BR	+421-48	
Nacina Ves	Košický kraj	128	48.820556°S 21.853611°V	15,8	1 775	112,34	072 21	522805	MI	+421-56	
Nadlice	Trenčiansky kraj	182	48.620100°S 18.251800°V	5,53	639	115,55	956 32	505170	PE	+421-38	
Naháč	Trnavský kraj	246	48.533333°S 17.533333°V	19,67	450	22,88	919 65 	507351	TT	+421-33	
Nálepkovo	Košický kraj	590	48.8419°S 20.6188°V	55,65	3 163	56,84	053 33	543373	GL	+421-53	
Námestovo	Žilinský kraj	614	49.402778°S 19.481389°V	44,45	7 915	178,07	029 01	509868	NO	+421-43	
Nána	Nitriansky kraj	110	47.826667°S 18.684167°V	17,95	1 175	65,46	943 60	556092	NZ	+421-36	
Nandraž	Banskobystrický kraj	290	48.600000°S 20.183333°V	10,61	284	26,77	049 61 	526037	RA	+421-58	
Necpaly	Žilinský kraj	510	48.966667°S 18.966667°V	42,17	883	20,94	038 12	512478	MT	+421-43	
Nedanovce	Trenčiansky kraj	180	48.5926°S 18.2920°V	7	632	90,29	958 43 	505196	PE	+421-38	
Nedašovce	Trenčiansky kraj	210	48.668333°S 18.313056°V	6,91	432	62,52	956 35	505200	BN	+421-38	
Neded	Nitriansky kraj	112 m	48.018492°S 17.970458°V	36,01	3 284	91,2	925 85	503932	SA	+421-31	
Nededza	Žilinský kraj	381	49.2198°S 18.8362°V	6,31	1 007	159,59	013 02 	517828	ZA	+421-41	
Nedožery-Brezany	Trenčiansky kraj	300	48.816667°S 18.650000°V	24,16	2 125	87,96	972 12  Nedožery-Brezany časť Nedožery)	514209	PD	+421-46	
Nechválova Polianka	Prešovský kraj	294	49.0736°S 22.0941°V	12,73	87	6,83	067 33 	520527	HE	+421-57	
Nemce	Banskobystrický kraj	410	48.762500°S 19.185278°V	4,1	1 182	288,29	974 01 	557285	BB	+421-48	
Nemcovce	Prešovský kraj	210	49.2096°S 21.4380°V	5,46	256	46,89	086 12 	519626	PO	+421-54	
Nemcovce	Prešovský kraj	210	49.048889°S 21.381944°V	5,74	474	82,58	082 12 	524913	PO	+421-51	
Nemčice	Nitriansky kraj	176	48.552500°S 18.121667°V	7,96	972	122,11	955 01 	581305	TO	+421-38	
Nemčiňany	Nitriansky kraj	212	48.3066°S 18.4455°V	15,68	688	43,88	951 81	500585	ZM	+421-37	
Nemecká	Banskobystrický kraj	429	48.810833°S 19.417222°V	24,63	1 810	73,49	976 97	508829	BR	+421-48	
Nemečky	Nitriansky kraj	270	48.6722°S 18.1158°V	6,27	308	49,12	956 22 	505226	TO	+421-38	
Nemešany	Prešovský kraj	462	49.0037°S 20.6839°V	4,01	406	101,25	053 02 	543381	LE	+421-53	
Nemšová	Trenčiansky kraj	228	48.963889°S 18.117222°V	33,44	6 271	187,53	914 41	506281	TN	+421-32	
Nenince	Banskobystrický kraj	317	48.1467°S 19.2636°V	13,48	1 388	102,97	991 26	516236	VK	+421-47	
Neporadza	Trenčiansky kraj	286	48.8223°S 18.1532°V	14,21	799	56,23	913 26 	506290	TN	+421-32	
Neporadza	Banskobystrický kraj	216	48.3628°S 20.3889°V	7,02	268	38,18	980 45 	515205	RS	+421-47	
Nesvady	Nitriansky kraj	114	47.9271°S 18.1274°V	57,86	5 090	87,97	946 51	501280	KN	+421-35	
Nesluša	Žilinský kraj	410	49.309722°S 18.746389°V	25,48	3 157	123,9	023 41	509302	KM	+421-41	
Neverice	Nitriansky kraj	180	48.3673°S 18.2753°V	5,96	680	114,09	951 72	500593	ZM	+421-37	
Nevidzany	Trenčiansky kraj	400	48.840833°S 18.484167°V	11,78	302	25,64	972 27 	514217	PD	+421-46	
Nevidzany	Nitriansky kraj	162	48.2866°S 18.3804°V	10,26	593	57,8	951 62	500607	ZM	+421-37	
Nevoľné	Banskobystrický kraj	704	48.671111°S 18.943889°V	3,11	414	133,12	967 01 	517089	ZH	+421-45	
Nezbudská Lúčka	Žilinský kraj	360	49.178169°S 18.866272°V	8,21	401	48,84	013 24 	558168	ZA	+421-41	
Nimnica	Trenčiansky kraj	266	49.1391°S 18.3567°V	7,36	715	97,15	020 71	557447	PU	+421-42	
Nitra	Nitriansky kraj	167	48.306944°S 18.086389°V	100,48	78 351	779,77	949 XX, 950 50	500011	NR	+421-37	
Nitra nad Ipľom	Banskobystrický kraj	180	48.3191°S 19.7725°V	8,12	358	44,09	985 57 	511668	LC	+421-47	
Nitrianska Blatnica	Nitriansky kraj	242	48.552778°S 17.966667°V	14,39	1 200	83,39	956 05 	505234	TO	+421-38	
Nitrianska Streda	Nitriansky kraj	170	48.5213°S 18.1752°V	13,96	770	55,16	956 16	505242	TO	+421-38	
Nitrianske Hrnčiarovce	Nitriansky kraj	204	48.3314°S 18.1243°V	9,95	1 983	199,3	951 01	556696	NR	+421-37	
Nitrianske Pravno	Trenčiansky kraj	348	48.866667°S 18.633333°V	31,2	3 151	100,99	972 13	514225	PD	+421-46	
Nitrianske Rudno	Trenčiansky kraj	318	48.799444°S 18.476667°V	14,5	1 917	132,21	972 26	514233	PD	+421-46	
Nitrianske Sučany	Trenčiansky kraj	295	48.7304°S 18.4701°V	18,07	1 221	67,57	972 21	514241	PD	+421-46	
Nitrica	Trenčiansky kraj	od 230 do 265	48.7047°S 18.4478°V	24,03	1 238	51,52	972 22	514250	PD	+421-46	
Nižná	Trnavský kraj	183	48.536389°S 17.655556°V	8,05	535	66,46	922 06	507369	PN	+421-33	
Nižná	Žilinský kraj	551 - 1 222	49.310278°S 19.530000°V	27,78	4 006	144,2	027 43	509876	TS	+421-43	
Nižná Boca	Žilinský kraj	851	48.9486°S 19.7686°V	25,17	160	6,36	032 34 	510874	LM	+421-44	
Nižná Hutka	Košický kraj	181	48.657778°S 21.359167°V	4,34	588	135,48	040 18 	518140	KS	+421-55	
Nižná Jablonka	Prešovský kraj	303	49.1280°S 22.0860°V	11,89	195	16,4	067 34	520535	HE	+421-57	
Nižná Jedľová	Prešovský kraj	286	49.338172°S 21.557392°V	4,75	83	17,47	089 01 	527629	SK	+421-54	
Nižná Kamenica	Košický kraj	308	48.760208°S 21.479169°V	13,33	544	40,81	044 45 	521728	KS	+421-55	
Nižná Myšľa	Košický kraj	235	48.623611°S 21.365278°V	12,61	1 659	131,56	044 15	521736	KS	+421-55	
Nižná Olšava	Prešovský kraj	191	49.1437°S 21.6326°V	11,4	400	35,09	090 32 	527637	SP	+421-54	
Nižná Pisaná	Prešovský kraj	321	49.3852°S 21.6017°V	7,38	85	11,52	090 01 	527645	SK	+421-54	
Nižná Polianka	Prešovský kraj	395	49.4042°S 21.4023°V	5,88	250	42,52	086 36	519634	BJ	+421-54	
Nižná Rybnica	Košický kraj	118	48.7542°S 22.1521°V	9	421	46,78	073 01 	522813	SO	+421-56	
Nižná Sitnica	Prešovský kraj	169	49.0660°S 21.7934°V	9,17	330	35,99	094 07	528897	HE	+421-57	
Nižná Slaná	Košický kraj	360	48.724722°S 20.411111°V	18,94	1 234	65,15	049 23	526045	RV	+421-58	
Nižná Voľa	Prešovský kraj	270	49.2225°S 21.3725°V	7,17	284	39,61	086 21 	519642	BJ	+421-54	
Nižné Ladičkovce	Prešovský kraj	198	49.0212°S 21.9033°V	8,55	347	40,58	067 11 	520543	HE	+421-57	
Nižné Nemecké	Košický kraj	115	48.6544°S 22.2380°V	7,25	323	44,55	072 52 	522821	SO	+421-56	
Nižné Repaše	Prešovský kraj	747	49.086667°S 20.703611°V	10,33	181	17,52	053 71 	543390	LE	+421-53	
Nižné Ružbachy	Prešovský kraj	555	49.2815°S 20.5768°V	9,79	637	65,07	065 02 	526916	SL	+421-52	
Nižný Čaj	Košický kraj	207	48.6659°S 21.3981°V	2,95	275	93,22	044 16 	521744	KS	+421-55	
Nižný Hrabovec	Prešovský kraj	126	48.854444°S 21.753611°V	11,29	1 639	145,17	094 21	528901	VT	+421-57	
Nižný Hrušov	Prešovský kraj	130	48.8068°S 21.7728°V	18,52	1 612	87,04	094 22	528919	VT	+421-57	
Nižný Klátov	Košický kraj	370	48.7276°S 21.1421°V	5,99	748	124,87	044 12	521752	KS	+421-55	
Nižný Komárnik	Prešovský kraj	362	49.375278°S 21.696111°V	12,38	175	14,14	090 05 	527653	SK	+421-54	
Nižný Kručov	Prešovský kraj	133	48.911800°S 21.653600°V	3,7	409	110,54	093 01 	528927	VT	+421-57	
Nižný Lánec	Košický kraj	197	48.5377°S 21.1089°V	4,1	442	107,8	044 73 	521761	KS	+421-55	
Nižný Mirošov	Prešovský kraj	302	49.3559°S 21.4745°V	7,02	256	36,47	090 11 	527661	SK	+421-54	
Nižný Orlík	Prešovský kraj	257	49.3357°S 21.5254°V	9,32	301	32,3	090 11 	527670	SK	+421-54000000	
Nižný Skálnik	Banskobystrický kraj	236	48.4538°S 19.9688°V	5,3	196	36,98	980 52 	557790	RS	+421-47	
Nižný Slavkov	Prešovský kraj	511	49.102222°S 20.850278°V	23,14	817	35,31	082 75	524921	SB	+421-51	
Nižný Tvarožec	Prešovský kraj	420	49.3637°S 21.1873°V	11,16	518	46,42	086 02 	519669	BJ	+421-54	
Nižný Žipov	Košický kraj	126	48.5823°S 21.6370°V	17,07	1 471	86,17	076 17	528609	TV	+421-56	
Nolčovo	Žilinský kraj	421	49.1095°S 19.0761°V	15,02	240	15,98	038 54 	512486	MT	+421-43	
Norovce	Nitriansky kraj	240	48.633333°S 18.183333°V	6,33	316	49,92	956 38 	505251	TO	+421-38	
Nová Baňa	Banskobystrický kraj	442	48.424444°S 18.639167°V	61,26	7 567	123,52	968 01	517097	ZC	+421-45	
Nová Bašta	Banskobystrický kraj	271	48.1729°S 19.9440°V	13,18	504	38,24	980 34	515230	RS	+421-47	
Nová Bošáca	Trenčiansky kraj	306 (centrum obce)	48.8786°S 17.7957°V	33,44	1 113	33,28	913 08	506303	NM	+421-32	
Nová Bystrica	Žilinský kraj	593	49.3448°S 19.0071°V	125,26	2 808	22,42	023 05	509311	CA	+421-41	
Nová Dedina	Nitriansky kraj	200	48.281111°S 18.644722°V	29,17	1 536	52,66	935 25	502588	LV	+421-36	
Nová Dedinka	Bratislavský kraj	128	48.191111°S 17.361944°V	10,24	2 205	215,33	900 29	508136	SC	+421-2	
Nová Dubnica	Trenčiansky kraj	240	48.935000°S 18.147222°V	11,25	11 331	1 007,2	018 51	513440	IL	+421-42	
Nová Kelča	Prešovský kraj	180	49.0598°S 21.6945°V	11,84	387	32,69	094 04	528935	VT	+421-57	
Nová Lehota	Trenčiansky kraj	450	48.658333°S 17.979722°V	18,21	199	10,93	916 35 	506311	NM	+421-33	
Nová Lesná	Prešovský kraj	747	49.1224°S 20.2674°V	4,17	1 564	375,06	059 86	523763	PP	+421-52	
Nová Ľubovňa	Prešovský kraj	562	49.271111°S 20.681389°V	14,43	2 939	203,67	065 11	526924	---	+421-52	
Nová Polhora	Košický kraj	221	48.8321°S 21.3156°V	2,08	439	211,06	044 44 	521795	KS	+421-55	
Nová Polianka	Prešovský kraj	344	49.2871°S 21.6214°V	5,48	78	14,23	089 01 	527688	SK	+421-54	
Nová Sedlica	Prešovský kraj	421	49.045556°S 22.515556°V	32,81	293	8,93	067 68 	520551	SV	+421-57	
Nová Ves	Banskobystrický kraj	164	48.1685°S 19.3647°V	8,5	407	47,88	991 05 	516244	VK	+421-47	
Nová Ves nad Váhom	Trenčiansky kraj	181	48.733333°S 17.883333°V	12,11	545	45	916 31 	556459	NM	+421-32	
Nová Ves nad Žitavou	Nitriansky kraj	150	48.289167°S 18.322778°V	10,17	1 322	129,99	951 51	500631	NR	+421-37	
Nová Vieska	Nitriansky kraj	127	47.870833°S 18.461944°V	17,61	719	40,83	943 42 	503436	NZ	+421-36	
Nováčany	Košický kraj	337	48.6902°S 21.0714°V	17,32	737	42,55	044 21 	521787	KS	+421-55	
Nováky	Trenčiansky kraj	245	48.717778°S 18.540833°V	19,29	4 262	220,94	972 71	514268	PD	+421-46	
Nové Hony	Banskobystrický kraj	211	48.3627°S 19.8249°V	16,65	188	11,29	985 42 	511676	PT	+421-47	
Nové Mesto nad Váhom	Trenčiansky kraj	195	48.754722°S 17.830833°V	32,58	20 208	620,26	915 01	506338	NM	+421-32	
Nové Sady	Nitriansky kraj	168	48.4168°S 17.9801°V	17,47	1 295	74,13	951 24	500640	NR	+421-37	
Nové Zámky	Nitriansky kraj	119	47.987625°S 18.162461°V	72,57	39 219	540,43	940 XX	503011	NZ	+421-35	
Novosad	Košický kraj	136	48.5253°S 21.7413°V	15,26	1 026	67,23	076 02	528617	TV	+421-56	
Novoť	Žilinský kraj	752	49.428333°S 19.263889°V	37,98	3 446	90,73	029 55	509884	NO	+421-43	
Nový Ruskov	Košický kraj	134	48.6443°S 21.6704°V	11	626	56,91	075 01 	528625	TV	+421-56	
Nový Salaš	Košický kraj	350	48.6112°S 21.4746°V	11,02	210	19,06	044 17 	521809	KS	+421-55	
Nový Svet	Bratislavský kraj	124	48.213889°S 17.479444°V	7,75	79	10,19	903 01 	582549	SC	+421-2	
Nový Tekov	Nitriansky kraj	171	48.2439°S 18.5209°V	29,7	836	28,15	935 33	502596	LV	+421-36	
Nový Život	Trnavský kraj	121	48.122778°S 17.466667°V	22,48	2 247	99,96	930 38	501808	DS	+421-31	
Nýrovce	Nitriansky kraj	152	48.0246°S 18.5741°V	13,49	533	39,51	935 67 	502600	LV	+421-36	
Ňagov	Prešovský kraj	355	49.2535°S 21.9371°V	9,65	434	44,97	068 01 	520519	ML	+421-57	
Ňárad	Trnavský kraj	113	47.836667°S 17.610000°V	10,45	637	60,96	930 06 	501930	DS	+421-31	
Obeckov	Banskobystrický kraj	170	48.1715°S 19.3333°V	10,88	499	45,86	991 05 	516252	VK	+421-47	
Obid	Nitriansky kraj	118	47.777778°S 18.645833°V	24,49	1 167	47,65	943 01 	582361	NZ	+421-36	
Obišovce	Košický kraj	297	48.8620°S 21.2382°V	9,76	430	44,06	044 81 	521817	KS	+421-55	
Oborín	Košický kraj	104	48.5433°S 21.8838°V	43,78	740	16,9	076 75	528633	MI	+421-56	
Obručné	Prešovský kraj	647	49.3068°S 20.9831°V	5,86	34	5,8	065 42 	526932	SL	+421-52	
Obyce	Nitriansky kraj	260	48.416667°S 18.450000°V	31,27	1 517	48,51	951 95	500658	ZM	+421-37	
Očkov	Trenčiansky kraj	166	48.653333°S 17.764167°V	4,94	473	95,75	916 22 	506346	NM	+421-32	
Očová	Banskobystrický kraj	400	48.6017°S 19.2901°V	88,34	2 603	29,47	962 23	518662	ZV	+421-45	
Odorín	Košický kraj	439	48.933611°S 20.632778°V	9,14	944	103,28	053 22	543403	SN	+421-53	
Ohrady	Trnavský kraj	113	47.991667°S 17.700000°V	14,77	1 210	81,92	930 12	501816	DS	+421-31	
Ohradzany	Prešovský kraj	170	48.9977°S 21.8400°V	11,99	641	53,46	067 22	520560	HE	+421-57	
Ochodnica	Žilinský kraj	403	49.347577°S 18.795108°V	18,05	1 926	106,7	023 35	509329	KM	+421-41	
Ochtiná	Košický kraj	338	48.6840°S 20.3280°V	14,48	524	36,19	049 35	526053	RV	+421-58	
Okoč	Trnavský kraj	112	47.890556°S 17.809722°V	63,43	3 623	57,12	930 28	501824	DS	+421-31	
Okoličná na Ostrove	Nitriansky kraj	113	47.8048°S 17.9208°V	29,89	1 519	50,82	946 13	501301	KN	+421-35	
Okrúhle	Prešovský kraj	220	49.183639°S 21.557664°V	14,97	640	42,75	090 42	527696	SK	+421-54	
Okružná	Prešovský kraj	425	49.016667°S 21.383333°V	11,52	458	39,76	082 12 	524930	PO	+421-51	
Olcnava	Košický kraj	404	48.9238°S 20.7556°V	15,21	1 059	69,63	053 61 	543411	SN	+421-53	
Olejníkov	Prešovský kraj	520	49.1870°S 21.0700°V	44,46	445	10,01	082 57 	524948	SB	+421-51	
Olešná	Žilinský kraj	480	49.423517°S 18.673964°V	19,77	1 949	98,58	023 52	509337	CA	+421-41	
Olováry	Banskobystrický kraj	190	48.1518°S 19.4108°V	18,62	301	16,17	991 22 	516261	VK	+421-47	
Olšovany	Košický kraj	230	48.705556°S 21.410833°V	9,98	599	60,02	044 19 	521825	KS	+421-55	
Oľdza	Trnavský kraj	123	48.086111°S 17.420833°V	8,86	435	49,1	930 39 	501832	DS	+421-31	
Oľka	Prešovský kraj	223	49.153333°S 21.844444°V	31,46	300	9,54	067 04	520578	ML	+421-57	
Oľšavce	Prešovský kraj	240	49.2037°S 21.3834°V	5,06	180	35,57	086 46 	519677	BJ	+421-54	
Oľšavica	Prešovský kraj	776	49.0827°S 20.7534°V	17,61	288	16,35	053 73 	543420	LE	+421-53	
Oľšavka	Prešovský kraj	286	49.2917°S 21.6869°V	8,54	226	26,46	090 22 	527700	SP	+421-54	
Oľšavka	Košický kraj	404	48.9653°S 20.8252°V	3,02	198	65,56	053 61 	543438	SN	+421-53	
Oľšinkov	Prešovský kraj	443	49.1997°S 22.0393°V	7,65	28	3,66	067 16 	520586	ML	+421-57	
Oľšov	Prešovský kraj	461	49.1800°S 20.8788°V	10,17	399	39,23	082 76 	524956	SB	+421-51	
Omastiná	Trenčiansky kraj	300	48.7771°S 18.3887°V	12,45	41	3,29	956 41 	505277	BN	+421-38	
Omšenie	Trenčiansky kraj	333	48.901389°S 18.225278°V	24,36	1 972	80,95	914 43	506354	TN	+421-32	
Ondavka	Prešovský kraj	480	49.4365°S 21.3387°V	3,47	18	5,19	086 36 	519685	BJ	+421-54	
Ondavské Matiašovce	Prešovský kraj	133	48.9348°S 21.7459°V	10,29	827	80,37	094 01 	528943	VT	+421-57	
Ondrašovce	Prešovský kraj	460	48.9888°S 21.0793°V	4,36	57	13,07	082 33 	524964	PO	+421-51	
Ondrašová	Žilinský kraj	464	48.9431°S 18.8057°V	6,98	81	11,6	038 22 	512494	TR	+421-43	
Ondrejovce	Nitriansky kraj	163	48.1350°S 18.5101°V	19,61	456	23,25	935 51 	502618	LV	+421-36	
Opátka	Košický kraj	462	48.7873°S 21.0588°V	13,9	92	6,62	044 65 	521833	KS	+421-55	
Opatovce	Trenčiansky kraj	204	48.8587°S 17.9768°V	2,9	403	138,97	913 11 	506371	TN	+421-32	
Opatovce nad Nitrou	Trenčiansky kraj	258	48.7626°S 18.5708°V	9,17	1 555	169,57	972 02	514284	PD	+421-46	
Opatovská Nová Ves	Banskobystrický kraj	154	48.1148°S 19.2762°V	9,15	713	77,92	991 07 	516279	VK	+421-47	
Opava	Banskobystrický kraj	400	48.1958°S 19.1771°V	11,76	131	11,14	991 25 	516287	VK	+421-47	
Opiná	Košický kraj	376 m	48.8537°S 21.4266°V	12,07	193	15,99	044 47 	521841	KS	+421-55	
Opoj	Trnavský kraj	135	48.300000°S 17.650000°V	4,62	996	215,58	919 32	556491	TT	+421-33	
Oponice	Nitriansky kraj	168	48.4680°S 18.1442°V	12,3	852	69,27	956 14	505285	TO	+421-38	
Oravce	Banskobystrický kraj	424	48.6848°S 19.2636°V	4,72	182	38,56	976 33 	508837	BB	+421-48	
Orávka	Banskobystrický kraj	179	48.3097°S 20.1944°V	7,19	159	22,11	980 42 	515248	RS	+421-47	
Oravská Jasenica	Žilinský kraj	630	49.395756°S 19.435711°V	23,68	1 766	74,58	029 64	509892	NO	+421-43	
Oravská Lesná	Žilinský kraj	780 (m)	49.366667°S 19.183333°V	65,63	3 333	50,78	029 57	509906	NO	+421-43	
Oravská Polhora	Žilinský kraj	686	49.5217°S 19.4461°V	84,52	3 866	45,74	029 47	509914	NO	+421-43	
Oravská Poruba	Žilinský kraj	470	49.1943°S 19.2674°V	13,26	1 030	77,68	027 54 	509922	DK	+421-43	
Oravský Biely Potok	Žilinský kraj	649	49.2859°S 19.5523°V	18,45	711	38,54	027 42 	509949	TS	043 /	
Oravský Podzámok	Žilinský kraj	511	49.266667°S 19.366667°V	35,25	1 307	37,08	027 41	509957	DK	+421-43	
Ordzovany	Prešovský kraj	543	49.0352°S 20.7865°V	12,08	174	14,4	053 06 	543446	LE	+421-53	
Orechová	Košický kraj	135	48.7054°S 22.2258°V	3,4	257	75,59	072 51 	522830	SO	+421-56	
Orechová Potôň	Trnavský kraj	118	48.018333°S 17.535000°V	21,07	1 672	79,35	930 02	501859	DS	+421-31	
Oravské Veselé	Žilinský kraj	755	49.4610°S 19.3840°V	41,21	2 884	69,98	029 62	509931	NO	+421-43	
Oreské	Trnavský kraj	244	48.7454°S 17.3038°V	3,73	377	101,07	908 63 	504599	SI	+421-34	
Oreské	Košický kraj	168	48.857458°S 21.904422°V	11,13	485	43,58	072 23 	522848	MI	+421-56	
Orešany	Nitriansky kraj	238	48.5112°S 17.8992°V	6,72	326	48,51	956 06 	556211	TO	+421-38	
Orlov	Prešovský kraj	494	49.283433°S 20.866382°V	20,77	654	31,49	065 43	526941	SL	+421-52	
Orovnica	Banskobystrický kraj	325	48.384167°S 18.596667°V	14,25	565	39,65	966 52 	580546	ZC	+421-45	
Ortuťová	Prešovský kraj	232	49.2695°S 21.4559°V	6,03	166	27,53	086 12 	519693	BJ	+421-54	
Osádka	Žilinský kraj	670	49.1843°S 19.3845°V	4,08	134	32,84	027 01 	509965	DK	+421-43	
Osadné	Prešovský kraj	385	49.143056°S 22.152222°V	26,52	181	6,83	067 34 	520594	SV	+421-57	
Osikov	Prešovský kraj	370	49.175000°S 21.263333°V	13,87	1 001	72,17	086 42 	519707	BJ	+421-54	
Oslany	Trenčiansky kraj	220	48.631389°S 18.474444°V	25,15	2 415	96,02	972 47	514292	PD	+421-46	
Osrblie	Banskobystrický kraj	580	48.757222°S 19.525833°V	24,02	391	16,28	976 45 	508845	BR	+421-48	
Ostrá Lúka	Banskobystrický kraj	462	48.5450°S 19.0523°V	20,27	300	14,8	962 61 	518671	ZV	+421-45	
Ostratice	Trenčiansky kraj	182	48.6441°S 18.2808°V	11,31	842	74,45	956 34	505307	PE	+421-38	
Ostrov	Trnavský kraj	166	48.628611°S 17.766667°V	9,36	1 217	130,02	922 01	507385	PN	+421-33	
Ostrov	Košický kraj	100	48.716667°S 22.166667°V	11,12	299	26,89	072 55 	522856	SO	+421-56	
Ostrovany	Prešovský kraj	320	49.062500°S 21.114444°V	5,85	1 912	326,84	082 22 	524981	SB	+421-51	
Ostrý Grúň	Banskobystrický kraj	450	48.5635°S 18.6631°V	16,71	505	30,22	966 77	517119	ZC	+421-45	
Osturňa	Prešovský kraj	640-840	49.3363°S 20.2415°V	41,28	316	7,66	059 79	523771	KK	+421-52	
Osuské	Trnavský kraj	218	48.633333°S 17.433333°V	11,61	606	52,2	906 12 	504602	SE	+421-34	
Oščadnica	Žilinský kraj	563	49.4375°S 18.8857°V	58,63	5 639	96,18	023 01	509345	---	+421	
Otrhánky	Trenčiansky kraj	215	48.693889°S 18.206944°V	4,66	403	86,48	956 55 	556289	BN	+421-38	
Otročok	Banskobystrický kraj	186	48.4479°S 20.2760°V	5,38	305	56,69	982 62 	515256	RA	+421-47	
Ovčiarsko	Žilinský kraj	429	49.2233°S 18.6612°V	4,89	610	124,74	010 04 	547611	ZA	+421-41	
Ovčie	Prešovský kraj	479	48.9631°S 20.9770°V	3,16	667	211,08	082 38 	524999	PO	+421-51	
Ozdín	Banskobystrický kraj	286	48.4695°S 19.6861°V	15,22	342	22,47	985 24 	511684	PT	+421-47	
